goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_41-Gas=500-12               	  353650	      3385 ns/op	       500.0 gas/op	       147.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_42-Gas=500-12               	  349144	      3406 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_43-Gas=500-12               	  352713	      3375 ns/op	       500.0 gas/op	       148.1 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_44-Gas=500-12               	  351138	      3411 ns/op	       500.0 gas/op	       146.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_45-Gas=500-12               	  350961	      3384 ns/op	       500.0 gas/op	       147.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_46-Gas=500-12               	  351879	      3405 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_47-Gas=500-12               	  349000	      3405 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_48-Gas=500-12               	  351956	      3404 ns/op	       500.0 gas/op	       146.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_49-Gas=500-12               	  350442	      3392 ns/op	       500.0 gas/op	       147.4 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_50-Gas=500-12               	  350340	      3406 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_51-Gas=500-12               	  354541	      3376 ns/op	       500.0 gas/op	       148.1 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_52-Gas=500-12               	  350494	      3414 ns/op	       500.0 gas/op	       146.5 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_53-Gas=500-12               	  350516	      3375 ns/op	       500.0 gas/op	       148.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_54-Gas=500-12               	  353917	      3395 ns/op	       500.0 gas/op	       147.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_55-Gas=500-12               	  349894	      3394 ns/op	       500.0 gas/op	       147.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_56-Gas=500-12               	  353031	      3449 ns/op	       500.0 gas/op	       145.0 mgas/s	     320 B/op	       3 allocs/op
